id,name,birth_year,death_year,nationality,literary_movement,biographical_notes,wikidata_id,created_at,updated_at,author_notes
48,Mildred Cram,1889,1985,United States,,"American writer (1889-1985). Born in Washington, D.C.. Died in Santa Barbara. Occupations: screenwriter, writer",Q4260292,2025-06-17 03:44:44.513472,2025-06-17 16:37:34.492846,
49,Beatrice Burton,1894,1983,United States,,"American writer (1894-1983). Born in Cleveland. Died in Naples. Occupations: novelist, writer, actor",Q4877134,2025-06-17 03:44:44.513472,2025-06-17 16:37:35.898943,
50,Laura Jean Libbey,1862,1924,United States,,"American writer. Born in New York City. Died in Brooklyn. Occupations: novelist, writer",Q6499053,2025-06-17 03:44:44.513472,2025-06-17 16:37:37.350922,
51,Mary Heaton Vorse,1874,1966,United States,,"American journalist. Born in New York City. Occupations: novelist, journalist, writer",Q6779749,2025-06-17 03:44:44.513472,2025-06-17 16:37:38.816222,
52,Anita Loos,1888,1981,United States,,"American screenwriter, playwright, author, actress and television producer (1888-1981). Born in Mount Shasta. Died in New York City. Occupations: film actor, screenwriter, writer, autobiographer, memoirist, novelist. Notable works: Gentlemen Prefer Blondes",Q272088,2025-06-17 03:44:44.513472,2025-06-17 16:37:40.142343,
53,Vina Delmar,1903,1990,United States,,"American playwright, screenwriter, and novelist (1903-1990). Born in Brooklyn. Died in Los Angeles. Occupations: playwright, screenwriter, novelist, writer",Q3561703,2025-06-17 03:44:44.513472,2025-06-17 16:37:41.685443,
54,Virginia S. Bartlett,,,,,,,2025-06-17 03:44:44.513472,2025-06-17 03:44:44.513472,
55,Bess Streeter Aldrich,1881,1954,United States,,"American author (1881–1954). Born in Cedar Falls. Died in Lincoln. Occupations: novelist, writer. Notable works: A Lantern in Her Hand",Q4896373,2025-06-17 03:44:44.513472,2025-06-17 16:37:43.302418,
56,Ursula Parrott,1900,1957,United States,,"American writer (1900-1957). Born in Dorchester. Died in New York City. Occupations: screenwriter, novelist. Notable works: Ex-Wife",Q7901271,2025-06-17 03:44:44.513472,2025-06-17 16:37:44.865788,
57,Faith Baldwin,1893,1978,United States,,"American author of romance and fiction. Born in New Rochelle. Died in Norwalk. Occupations: novelist, writer",Q5431144,2025-06-17 03:44:44.513472,2025-06-17 16:37:46.358561,
58,Susan Glaspell,1876,1948,United States,,"American writer (1876-1948). Born in Davenport. Died in Provincetown. Occupations: journalist, actor, biographer, writer, playwright, women's rights activist, novelist. Notable works: Alison's House",Q468667,2025-06-17 03:44:44.513472,2025-06-17 16:37:47.914093,
59,Vera Caspary,1899,1987,United States,,"American writer (1899–1987). Born in Chicago. Died in New York City. Occupations: playwright, screenwriter, novelist, writer. Notable works: Laura, Bedelia",Q1645179,2025-06-17 03:44:44.513472,2025-06-17 16:37:49.447433,
60,Sara Addington,1891,1940,,,"journalist and children's writer. Born in Cincinnati. Died in New York City. Occupations: children's writer, journalist",Q22958129,2025-06-17 03:44:44.513472,2025-06-17 16:37:50.955292,
61,Cleo Lucas,,,,,,,2025-06-17 03:44:44.513472,2025-06-17 03:44:44.513472,
62,Margaret Ayer Barnes,1886,1967,United States,,"American playwright, novelist, short story writer (1886–1967). Born in Chicago. Died in Cambridge. Occupations: short story writer, screenwriter, writer, playwright, novelist",Q768296,2025-06-17 03:44:44.513472,2025-06-17 16:37:52.620402,
63,Katherine Brush,1902,1952,United States,,"American writer (1902-1952). Occupations: columnist, novelist, writer",Q6376162,2025-06-17 03:44:44.513472,2025-06-17 16:37:54.035089,
