id,name,birth_year,death_year,nationality,literary_movement,biographical_notes,wikidata_id,created_at,updated_at,author_notes
197,Edith Barnard Delano,1874,1946,,,"writer. Born in Washington, D.C.. Died in Deerfield. Occupations: writer",Q106943814,2025-06-23T00:49:56.759267,2025-06-23T01:12:25.972945,
86,Edith Kneipple Roberts,1902,1966,,,1902-1966. Occupations: writer,Q120433162,2025-06-17T03:44:44.513472,2025-06-20T17:52:29.293634,
22,Edith Wharton,1862,1937,United States,,"American novelist, short story writer, designer (1862–1937). Born in New York City. Died in Saint-Brice-sous-Forêt. Occupations: art historian, prose writer, writer, novelist, translator, poet. Notable works: Old New York, The Custom of the Country, The Greater Inclination, The Age of Innocence, The Mount",Q276032,2025-06-17T03:44:44.513472,2025-06-17T16:37:01.060887,
94,Edna Anhalt,1914,1987,United States,,"screenwriter (1914–1987). Born in New York City. Occupations: film producer, screenwriter",Q911247,2025-06-17T03:44:44.513472,2025-06-17T16:38:32.248762,
40,Edna Ferber,1885,1968,United States,,"American novelist, short story writer and playwright (1885–1968). Born in Kalamazoo. Occupations: journalist, short story writer, screenwriter, writer, playwright, novelist, poet. Notable works: Saratoga Trunk, Personality Plus, Show Boat, Cimarron, So Big",Q283496,2025-06-17T03:44:44.513472,2025-06-17T16:37:22.887241,
68,Edna May Baker,,,,,,,2025-06-17T03:44:44.513472,2025-06-17T03:44:44.513472,
112,Eileen Bassing,,,,,,,2025-06-18T02:06:41.532425,2025-06-18T02:06:41.532425,
89,Eleanor Atkinson,1863,1942,United States,,"American author, journalist and teacher.. Born in Rensselaer. Occupations: novelist, journalist, teacher, writer",Q5354396,2025-06-17T03:44:44.513472,2025-06-17T16:38:24.747263,
143,Eleanor Browne,,,,,,-,2025-06-18T03:02:43.18093,2025-06-23T03:50:16.801639,
246,Eleanore Griffin,1904,1995,United States,,American screenwriter (1904-1995). Born in Saint Paul. Died in Woodland Hills. Occupations: screenwriter,Q1325753,2025-07-04T00:53:10.886851,2025-07-04T03:29:28.265818,
234,Eleanor Gates,1875,1951,United States,,"American playwright (1875-1951). Born in Shakopee. Died in Los Angeles. Occupations: playwright, writer. Notable works: Good-Night (Buenas Noches)",Q3721233,2025-07-04T00:53:10.886851,2025-07-04T03:29:15.725098,
107,Eleanor Hallowell Abbott,1873,1958,United States,,"American author (1873–1958). Born in Cambridge. Died in Portsmouth. Occupations: writer, poet, children's writer, novelist",Q519064,2025-06-18T01:36:22.106322,2025-06-20T17:52:34.103998,aka Eleanor Hallowell
130,Eleanor Hoyt Brainerd,1868,1942,United States,,"American writer (1868-1942). Born in Iowa City. Died in Pasadena. Occupations: novelist, journalist",Q5354293,2025-06-18T02:46:21.221035,2025-06-20T17:52:57.706545,
20,Eleanor Mercein Kelly,1880,1968,United States,,American writer. Born in Milwaukee. Died in Louisville. Occupations: writer,Q17308995,2025-06-17T03:44:44.513472,2025-06-17T16:36:57.86482,
46,Elenore Meherin,1887,1963,United States,,"American writer. Born in San Francisco. Died in San Francisco. Occupations: journalist, novelist",Q110769674,2025-06-17T03:44:44.513472,2025-06-17T16:37:31.623451,
